"Id","ProviderName","TimeCreated","TaskDisplayName"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:59:36 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:59:36 PM","Special Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:59:25 PM","Special Logon"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:59:25 PM","Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:58:36 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:58:36 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:58:36 PM","Special Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:58:27 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:58:16 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:58:16 PM","Special Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:58:05 PM","Logoff"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:55 PM","Logoff"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:55 PM","Logoff"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:55 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:55 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:55 PM","Special Logon"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:54 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:54 PM","Special Logon"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:54 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:54 PM","Special Logon"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:54 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:54 PM","Special Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:40 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:40 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:40 PM","Special Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:40 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:40 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:40 PM","Special Logon"
"4742","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:39 PM","Computer Account Management"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:39 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:39 PM","Special Logon"
"4742","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:39 PM","Computer Account Management"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:39 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:39 PM","Special Logon"
"4769","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:39 PM","Kerberos Service Ticket Operations"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:36 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:36 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:36 PM","Special Logon"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:11 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:11 PM","Special Logon"
"4769","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:11 PM","Kerberos Service Ticket Operations"
"4769","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:11 PM","Kerberos Service Ticket Operations"
"4768","Microsoft-Windows-Security-Auditing","10/12/2024 7:57:11 PM","Kerberos Authentication Service"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:14:35 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:14:35 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:14:35 PM","Special Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:13:53 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:13:53 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:13:53 PM","Special Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:13:35 PM","Logoff"
"4624","Microsoft-Windows-Security-Auditing","10/12/2024 8:13:35 PM","Logon"
"4672","Microsoft-Windows-Security-Auditing","10/12/2024 8:13:35 PM","Special Logon"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:12:43 PM","Logoff"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:12:43 PM","Logoff"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:12:42 PM","Logoff"
"4634","Microsoft-Windows-Security-Auditing","10/12/2024 8:12:42 PM","Logoff"
